epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2412.88,1.26709,0.81447,1.14741,0.76947,0.74975,0.80496,0.44998,1.43681,0.88783,1.25765,0.000346736,0.000346736,0.000346736
82,2442.96,1.26751,0.83653,1.13991,0.79534,0.74278,0.81119,0.45195,1.4418,0.90605,1.2698,0.000330233,0.000330233,0.000330233
83,2475.36,1.28735,0.81884,1.1575,0.80578,0.72896,0.81142,0.45134,1.44468,0.8934,1.27181,0.000313729,0.000313729,0.000313729
84,2502.69,1.26075,0.8038,1.14997,0.79362,0.75386,0.8151,0.46065,1.43236,0.88503,1.25945,0.000297226,0.000297226,0.000297226
85,2533.82,1.23241,0.79094,1.13907,0.80281,0.74455,0.80423,0.44723,1.43612,0.90825,1.25972,0.000280723,0.000280723,0.000280723
86,2562.47,1.23694,0.77678,1.13189,0.80655,0.73392,0.81151,0.45733,1.43737,0.90293,1.26426,0.00026422,0.00026422,0.00026422
87,2592.14,1.22637,0.76578,1.13231,0.80174,0.75088,0.81563,0.46196,1.4189,0.88374,1.25288,0.000247716,0.000247716,0.000247716
88,2622.31,1.25666,0.80817,1.14175,0.78178,0.76153,0.8162,0.45802,1.43295,0.89187,1.26552,0.000231213,0.000231213,0.000231213
89,2650.21,1.22532,0.76088,1.12555,0.79403,0.74972,0.81675,0.45921,1.43581,0.88947,1.26112,0.00021471,0.00021471,0.00021471
90,2681.72,1.22905,0.82789,1.12149,0.79432,0.75485,0.81863,0.46389,1.41927,0.87819,1.26802,0.000198206,0.000198206,0.000198206
91,2710.41,1.235,0.72699,1.138,0.78938,0.73697,0.81047,0.45531,1.43551,0.88239,1.27896,0.000181703,0.000181703,0.000181703
92,2741.36,1.19454,0.70318,1.10934,0.78926,0.76155,0.8199,0.45817,1.43848,0.86932,1.27545,0.0001652,0.0001652,0.0001652
93,2768.17,1.18421,0.6821,1.11596,0.79544,0.74529,0.81683,0.4582,1.44973,0.87512,1.27944,0.000148696,0.000148696,0.000148696
94,2799.24,1.19246,0.68107,1.1147,0.80869,0.7442,0.8243,0.46722,1.43827,0.87105,1.26937,0.000132193,0.000132193,0.000132193
95,2826.23,1.19216,0.68723,1.11088,0.79441,0.75263,0.81795,0.46216,1.44149,0.85895,1.27995,0.00011569,0.00011569,0.00011569
96,2857.56,1.18412,0.67125,1.11076,0.80524,0.75133,0.82396,0.46836,1.43696,0.85849,1.27932,9.92E-05,9.92E-05,9.92E-05
97,2884.47,1.17118,0.66332,1.10765,0.78772,0.76734,0.82988,0.46289,1.4372,0.86514,1.28122,8.27E-05,8.27E-05,8.27E-05
98,2914.64,1.17118,0.66801,1.09737,0.78926,0.7655,0.83215,0.46543,1.43463,0.86845,1.27685,6.62E-05,6.62E-05,6.62E-05
99,2941.37,1.16737,0.67167,1.10666,0.79796,0.75709,0.82939,0.46248,1.43174,0.87056,1.27455,4.97E-05,4.97E-05,4.97E-05
100,2971.76,1.16027,0.66095,1.09529,0.79244,0.76178,0.82861,0.46372,1.4296,0.87028,1.27424,3.32E-05,3.32E-05,3.32E-05
