elbow_angle1,shoulder_angle1,hip_angle1,knee_angle1,head_y1,hip_y1,ankle_y1,elbow_angle2,shoulder_angle2,hip_angle2,knee_angle2,head_y2,hip_y2,ankle_y2,elbow_angle3,shoulder_angle3,hip_angle3,knee_angle3,head_y3,hip_y3,ankle_y3,elbow_angle4,shoulder_angle4,hip_angle4,knee_angle4,head_y4,hip_y4,ankle_y4,elbow_angle5,shoulder_angle5,hip_angle5,knee_angle5,head_y5,hip_y5,ankle_y5,label
155.3493779,82.08474964,2.914109942,11.90023406,0.060185185,0.343518519,0.689814815,139.3640796,83.43150072,5.245583937,11.5237217,0.060185185,0.339814815,0.67037037,129.1704831,82.73188927,4.1779472,11.16714943,0.066666667,0.337037037,0.690740741,121.9900982,80.72746391,3.066247115,13.24152537,0.07037037,0.340740741,0.673148148,109.6909829,76.27273449,4.109903413,11.7465804,0.078703704,0.340740741,0.705555556,0
139.3640796,83.43150072,5.245583937,11.5237217,0.060185185,0.339814815,0.67037037,129.1704831,82.73188927,4.1779472,11.16714943,0.066666667,0.337037037,0.690740741,121.9900982,80.72746391,3.066247115,13.24152537,0.07037037,0.340740741,0.673148148,109.6909829,76.27273449,4.109903413,11.7465804,0.078703704,0.340740741,0.705555556,101.1177034,73.40205804,5.268780935,16.68371501,0.083333333,0.34537037,0.709259259,0
129.1704831,82.73188927,4.1779472,11.16714943,0.066666667,0.337037037,0.690740741,121.9900982,80.72746391,3.066247115,13.24152537,0.07037037,0.340740741,0.673148148,109.6909829,76.27273449,4.109903413,11.7465804,0.078703704,0.340740741,0.705555556,101.1177034,73.40205804,5.268780935,16.68371501,0.083333333,0.34537037,0.709259259,87.65408239,75.08536262,4.512152027,18.41985737,0.097222222,0.351851852,0.686111111,0
121.9900982,80.72746391,3.066247115,13.24152537,0.07037037,0.340740741,0.673148148,109.6909829,76.27273449,4.109903413,11.7465804,0.078703704,0.340740741,0.705555556,101.1177034,73.40205804,5.268780935,16.68371501,0.083333333,0.34537037,0.709259259,87.65408239,75.08536262,4.512152027,18.41985737,0.097222222,0.351851852,0.686111111,74.99418032,74.67376668,6.773926086,21.10111118,0.099074074,0.358333333,0.682407407,0
109.6909829,76.27273449,4.109903413,11.7465804,0.078703704,0.340740741,0.705555556,101.1177034,73.40205804,5.268780935,16.68371501,0.083333333,0.34537037,0.709259259,87.65408239,75.08536262,4.512152027,18.41985737,0.097222222,0.351851852,0.686111111,74.99418032,74.67376668,6.773926086,21.10111118,0.099074074,0.358333333,0.682407407,67.5205656,81.98789408,4.376565294,22.80818405,0.109259259,0.371296296,0.70462963,0
101.1177034,73.40205804,5.268780935,16.68371501,0.083333333,0.34537037,0.709259259,87.65408239,75.08536262,4.512152027,18.41985737,0.097222222,0.351851852,0.686111111,74.99418032,74.67376668,6.773926086,21.10111118,0.099074074,0.358333333,0.682407407,67.5205656,81.98789408,4.376565294,22.80818405,0.109259259,0.371296296,0.70462963,55.82048787,85.22185125,7.00271822,26.05506883,0.115740741,0.372222222,0.700925926,0
87.65408239,75.08536262,4.512152027,18.41985737,0.097222222,0.351851852,0.686111111,74.99418032,74.67376668,6.773926086,21.10111118,0.099074074,0.358333333,0.682407407,67.5205656,81.98789408,4.376565294,22.80818405,0.109259259,0.371296296,0.70462963,55.82048787,85.22185125,7.00271822,26.05506883,0.115740741,0.372222222,0.700925926,56.30438153,83.26586658,11.27986598,31.48405035,0.125,0.374074074,0.697222222,0
74.99418032,74.67376668,6.773926086,21.10111118,0.099074074,0.358333333,0.682407407,67.5205656,81.98789408,4.376565294,22.80818405,0.109259259,0.371296296,0.70462963,55.82048787,85.22185125,7.00271822,26.05506883,0.115740741,0.372222222,0.700925926,56.30438153,83.26586658,11.27986598,31.48405035,0.125,0.374074074,0.697222222,57.23823208,87.67320364,14.4564153,51.18485362,0.136111111,0.397222222,0.672222222,0
67.5205656,81.98789408,4.376565294,22.80818405,0.109259259,0.371296296,0.70462963,55.82048787,85.22185125,7.00271822,26.05506883,0.115740741,0.372222222,0.700925926,56.30438153,83.26586658,11.27986598,31.48405035,0.125,0.374074074,0.697222222,57.23823208,87.67320364,14.4564153,51.18485362,0.136111111,0.397222222,0.672222222,52.91483317,94.82772294,22.4374875,69.93188279,0.161111111,0.411111111,0.664814815,0
55.82048787,85.22185125,7.00271822,26.05506883,0.115740741,0.372222222,0.700925926,56.30438153,83.26586658,11.27986598,31.48405035,0.125,0.374074074,0.697222222,57.23823208,87.67320364,14.4564153,51.18485362,0.136111111,0.397222222,0.672222222,52.91483317,94.82772294,22.4374875,69.93188279,0.161111111,0.411111111,0.664814815,51.27130842,101.0840535,23.7915187,89.08387455,0.172222222,0.432407407,0.662962963,0
